crop,year,WOFOST_FLD,weather_uuid
barley,2015,3763.849774526616,8_1_0_0_0_0
barley,2016,3935.7560438169276,8_1_0_0_0_0
barley,2017,3638.784938752642,8_1_0_0_0_0
barley,2018,3540.924811172859,8_1_0_0_0_0
barley,2019,3634.2697765425087,8_1_0_0_0_0
soybean,2015,616.1736309081011,8_1_0_0_0_0
soybean,2016,662.9005028921098,8_1_0_0_0_0
soybean,2017,668.0891344987776,8_1_0_0_0_0
soybean,2018,670.5789011713263,8_1_0_0_0_0
soybean,2019,681.5839789428085,8_1_0_0_0_0
sugarbeet,2015,1230.6211060844612,8_1_0_0_0_0
sugarbeet,2016,1175.582993486051,8_1_0_0_0_0
sugarbeet,2017,1181.4882247616924,8_1_0_0_0_0
sugarbeet,2018,1225.3973980968403,8_1_0_0_0_0
sugarbeet,2019,1168.9947757854468,8_1_0_0_0_0
barley,2015,4690.721811374612,8_1_0_0_0_1
barley,2016,4839.149282350674,8_1_0_0_0_1
barley,2017,4537.284648201334,8_1_0_0_0_1
barley,2018,4406.724769987395,8_1_0_0_0_1
barley,2019,4484.972801747551,8_1_0_0_0_1
soybean,2015,639.2836086370792,8_1_0_0_0_1
soybean,2016,695.45715878812,8_1_0_0_0_1
soybean,2017,701.0784489494589,8_1_0_0_0_1
soybean,2018,708.7059329890507,8_1_0_0_0_1
soybean,2019,712.1823813250127,8_1_0_0_0_1
sugarbeet,2015,2942.24891977699,8_1_0_0_0_1
sugarbeet,2016,2800.5303184461154,8_1_0_0_0_1
sugarbeet,2017,2812.5241312478634,8_1_0_0_0_1
sugarbeet,2018,2842.1444832827633,8_1_0_0_0_1
sugarbeet,2019,2731.549446558963,8_1_0_0_0_1
barley,2015,7245.664247506644,8_1_0_0_0_2
barley,2016,7299.002577624294,8_1_0_0_0_2
barley,2017,7028.547720252647,8_1_0_0_0_2
barley,2018,6857.777407636548,8_1_0_0_0_2
barley,2019,6892.389140302862,8_1_0_0_0_2
soybean,2015,639.2836086370792,8_1_0_0_0_2
soybean,2016,697.5318065072315,8_1_0_0_0_2
soybean,2017,705.2963768667471,8_1_0_0_0_2
soybean,2018,720.5321820435263,8_1_0_0_0_2
soybean,2019,718.1570003890198,8_1_0_0_0_2
sugarbeet,2015,5313.788248678274,8_1_0_0_0_2
sugarbeet,2016,5063.181262180306,8_1_0_0_0_2
sugarbeet,2017,5106.801140270709,8_1_0_0_0_2
sugarbeet,2018,5141.842991377402,8_1_0_0_0_2
sugarbeet,2019,4950.730948631611,8_1_0_0_0_2
barley,2015,9617.77614154026,8_1_0_0_0_3
