DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20150101,0.0,-15.232673710092664,-10.73689132880204,0.06,1.8282582900729132,3.820090664755409,
20150102,0.0,-15.867464447394694,-11.164635995881216,0.06,1.7275035007981396,3.559084801908919,
20150103,0.0,-16.078948251817824,-10.895118289096956,0.06,1.7753478425013574,3.861290187695156,
20150104,0.0,-16.171052725417486,-11.357321107832847,0.06,1.755569582886341,4.020113305103253,
20150105,0.0,-16.322946617402142,-10.344200515657693,0.06,1.7108114946256645,3.7779030489474623,
20150106,0.0,-16.255297301805278,-11.065392859010489,0.06,1.6984319833920087,3.728748816748543,
20150107,0.0,-16.645794339062167,-10.738608153555717,0.06,1.724958810454748,3.699591533267351,
20150108,0.0,-16.66552686526083,-10.975267240983502,0.06,1.7038960700857966,3.6923284412829376,
20150109,0.0,-16.39442480707062,-11.548896520935015,0.06,1.9255606832842558,3.62748675343004,
20150110,0.0,-16.752691097030773,-11.687395390018096,0.06,1.6204484519450175,3.5816201158218663,
20150111,0.0,-16.78914706153141,-11.468339136876464,0.06,1.6991243589944265,3.580393491218677,
20150112,0.0,-17.020016476408642,-11.65630044455513,0.06,1.7088861152824886,3.683985709178332,
20150113,0.0,-17.614291080397447,-11.997169328738293,0.06,1.7285507378693592,3.728363676172551,
20150114,0.0,-17.338056080114765,-11.502844053535554,0.06,1.9421201082155517,3.6520646298395993,
20150115,0.0,-17.26027132092549,-11.775512291351767,0.06,1.8188757080464808,3.813997170354398,
20150116,0.0,-17.708150341437864,-11.821774400665538,0.06,2.012531344226397,3.5496937807971425,
20150117,0.0,-17.827745968551582,-11.912409884357407,0.06,2.003980093127648,3.784520677915067,
20150118,0.0,-17.572711487271366,-12.359893585871983,0.06,2.0327595656518764,3.5402745783642247,
20150119,0.0,-18.089486203575056,-12.426125279258713,0.06,2.06867220702221,3.5866387304465284,
20150120,0.0,-18.069281248535518,-12.407499152200108,0.06,2.0581246518160663,3.75505390553314,
20150121,0.0,-18.3209485717877,-11.786136352183414,0.06,2.165693818956497,3.480907288854349,
20150122,0.0,-18.172196474984013,-12.951092019305039,0.06,2.302052430066265,3.7378618832338577,
20150123,0.0,-18.71853714644597,-12.624614289611205,0.06,2.272682238223158,3.619906423281342,
20150124,0.0,-18.418689910300955,-12.250894184814891,0.06,2.279357213795995,3.725332665178175,
20150125,0.0,-18.54283310408721,-12.590752079815669,0.06,2.3731144421556425,3.7909663494445733,
20150126,0.0,-18.627410436084283,-12.696785333174152,0.06,2.1841257797574882,3.648197486705432,
20150127,0.0,-18.717081606331625,-12.478370582711225,0.06,2.3743045738441966,3.6617283040633546,
20150128,0.0,-18.954695046477426,-12.49575325933464,0.06,2.3260039725782504,3.498150386886082,
20150129,0.0,-18.993583385685863,-12.62542904209982,0.06,2.4812854724558657,3.797026501453925,
20150130,0.0,-18.09282134680305,-12.841040538414994,0.06,2.5381273828952846,3.5024041743876166,
20150131,0.0,-18.365711613118552,-12.919753292358624,0.06,2.6576050176782715,3.6830080873875537,
20150201,0.0,-19.025900685366718,-12.378542753167205,0.06,2.601549973560788,3.7548162365904343,
20150202,0.0,-19.01493831493247,-12.710876581675372,0.06,2.4691401915211957,3.8064591146428577,
20150203,0.0,-18.288665518439878,-12.256963743247624,0.06,2.4634959083941212,3.811191932999928,
20150204,0.0,-18.195897603513696,-12.369116904980292,0.06,2.5963722861881253,3.724225551060573,
20150205,0.0,-18.159482908302454,-12.090294042294257,0.06,2.6205012177061726,3.7206405869334036,
20150206,0.0,-18.421927846698143,-12.248168853272569,0.06,2.4393768826575153,3.8138276262088944,
20150207,0.0,-18.341677005605906,-12.133671688291084,0.06,2.4211805966976088,3.748658819864185,
20150208,0.0,-18.353760498808526,-11.599135685437851,0.06,2.4137603516698984,3.97480014186126,
20150209,0.0,-18.254720330269773,-11.286554011782705,0.06,2.429788599074524,3.5610717366949083,
20150210,101.95380011053464,-18.51501132738047,-11.495350592397475,0.06,2.423306035522828,3.7512678201982586,
20150211,754.2224959509576,-18.169348764647122,-11.500958096797055,0.06,2.29233817900164,3.6360551861201422,
20150212,383.078263656429,-17.595570632913436,-11.206157378525912,0.06,2.3489093600926823,3.632418066463551,
20150213,986.7202676967078,-17.30386551669128,-11.3328161207854,0.06,2.3818837988251005,3.4579299261607237,
20150214,955.9742850339703,-17.419481318967424,-11.020160678238337,0.06,2.1926992490267736,3.840744666574572,
20150215,1603.054622068516,-17.240610170085795,-10.707856054261018,0.06,2.11240927252464,3.847999123416757,
20150216,1313.4540232435181,-16.938240698825865,-10.472547680961274,0.06,2.305745523495268,3.6257080745749297,
20150217,1691.8664859367127,-16.824462762435985,-10.050835680481033,0.06,2.090338436391666,3.640619110984464,
20150218,1911.8616988389167,-17.036727732544254,-10.426342172734733,0.06,2.0592295012288817,3.4192283741276555,
20150219,2158.179767807258,-16.64347235995202,-9.731261458899317,0.06,2.1332378357096538,3.6501574905144034,
20150220,2318.534859121257,-16.791675577120248,-10.072613551769503,0.06,2.1890747357892364,3.3656408218933147,
20150221,1958.1384225359152,-15.983584961444707,-9.186742837161924,0.06,2.0375032006375013,3.5155593961091505,
20150222,2042.806350860217,-16.028111820623888,-9.652121178470283,0.07,2.1195502927422685,3.4160909486670272,
20150223,2844.1053915479656,-15.548558807019589,-8.387778025903737,0.06,2.0881845274710704,3.4647783366363387,
20150224,2708.7993645941087,-16.053626265079966,-8.937115298629328,0.06,1.882280063719726,3.4790258361783635,
20150225,3076.442054874497,-15.117456898941894,-8.753787582238294,0.06,1.9000355383291856,3.2306770827874893,
20150226,3399.0807380884835,-15.316891313629574,-8.2974308355904,0.07,2.058590060919407,3.4332302561314525,
20150227,3038.520937831549,-15.139998391207977,-8.068130841689449,0.06,2.0150794502143667,3.3035244297638227,
20150228,3673.431866741317,-14.636485687935796,-7.9799995302926865,0.07,2.0660897253229646,3.6703595769582527,
20150301,3600.1442793884607,-13.924685486521472,-7.6942970847965375,0.07,1.9264671905098127,3.46604493859689,
20150302,3834.3785940701696,-14.136192765854387,-7.250283274223043,0.07,1.811900292286064,3.693229345340234,
20150303,3986.2642731522114,-14.181975849162741,-6.959591837623536,0.07,2.04344523541722,3.6091661483873407,
20150304,4784.494283331363,-13.78752541414718,-7.288167641203016,0.07,2.0054076911411682,3.476186360936841,
20150305,4334.209911711623,-14.289675405083974,-6.741932772419744,0.07,1.9952321594780544,3.3763540824976666,
20150306,4808.983982027949,-13.566780593099455,-6.409607232896036,0.07,2.1446370106619765,3.6640723839810847,
