IRRAD_0,IRRAD_1,IRRAD_2,IRRAD_3,IRRAD_4,IRRAD_5,IRRAD_6,IRRAD_7,IRRAD_8
-3046.2705489427544,-1582.453521421793,-118.63649390083174,1345.1805336201296,2808.997561141091,4272.814588662052,5736.631616183014,7200.448643703975,8664.265671224937
-2925.211394409355,-1543.6908873723442,-162.17038033533345,1219.3501267016777,2600.870633738688,3982.391140775698,5363.911647812711,6745.432154849721,8126.952661886731
-2777.212381962117,-1422.5857889169342,-67.95919587175149,1286.6673971734313,2641.293990218614,3995.9205832637967,5350.547176308979,6705.173769354162,8059.8003623993445
-3022.9869499283423,-1594.5960026728308,-166.20505541731927,1262.1858918381922,2690.5768390937037,4118.967786349215,5547.358733604727,6975.749680860238,8404.14062811575
-2895.0779982703284,-1504.6415254493847,-114.20505262844108,1276.2314201925024,2666.6678930134462,4057.10436583439,5447.540838655334,6837.9773114762775,8228.413784297221
-3006.529552079975,-1556.1714048934343,-105.81325770689364,1344.5448894796468,2794.9030366661877,4245.261183852728,5695.619331039268,7145.97747822581,8596.33562541235
-2214.6561876167843,-778.9778370894751,656.7005134378342,2092.378863965144,3528.0572144924527,4963.735565019761,6399.413915547072,7835.092266074381,9270.77061660169
-2504.230289981342,-1109.4629956077385,285.30429876586504,1680.0715931394689,3074.838887513072,4469.606181886676,5864.37347626028,7259.140770633883,8653.908065007487
-2563.061980990856,-1178.747173660087,205.56763367068197,1589.8824410014504,2974.1972483322197,4358.512055662989,5742.826862993757,7127.141670324526,8511.456477655294
-2451.355153403674,-993.2662126904427,464.82272802278885,1922.9116687360201,3381.000609449252,4839.089550162484,6297.1784908757145,7755.267431588947,9213.356372302178
-2652.7936607278043,-1214.0499331403923,224.69379444701963,1663.4375220344318,3102.1812496218436,4540.924977209255,5979.668704796668,7418.412432384079,8857.156159971491
-2129.5259147422244,-708.0304926414938,713.4649294592368,2134.960351559968,3556.455773660698,4977.951195761429,6399.446617862161,7820.942039962891,9242.43746206362
-1623.1323776709824,-234.17319034273896,1154.7859969855044,2543.745184313748,3932.704371641991,5321.663558970235,6710.622746298478,8099.5819336267205,9488.541120954964
-1715.867787190356,-268.488165573011,1178.891456044334,2626.271077661679,4073.650699279024,5521.030320896369,6968.409942513714,8415.789564131059,9863.169185748404
-1873.3018120139584,-416.22143969694116,1040.858932620076,2497.939304937093,3955.0196772541103,5412.100049571128,6869.180421888144,8326.260794205162,9783.34116652218
-2275.843880432362,-739.4228971719363,796.9980860884893,2333.419069348915,3869.8400526093405,5406.261035869766,6942.682019130192,8479.103002390619,10015.523985651043
-2283.0553336227404,-824.769428949048,633.5164757246444,2091.802380398337,3550.088285072029,5008.374189745721,6466.660094419414,7924.945999093106,9383.231903766798
-1708.3681462270854,-346.57028976158267,1015.22756670392,2377.0254231694225,3738.8232796349257,5100.621136100428,6462.418992565931,7824.216849031434,9186.014705496937
-2036.179606540107,-592.8624477477947,850.4547110445176,2293.77186983683,3737.0890286291424,5180.406187421455,6623.7233462137665,8067.04050500608,9510.357663798392
-2057.276093129989,-578.3972088773444,900.4816753753003,2379.360559627945,3858.2394438805895,5337.118328133234,6815.997212385879,8294.876096638523,9773.754980891168
-1681.0364195346085,-191.22100136962308,1298.5944167953623,2788.4098349603482,4278.225253125333,5768.040671290319,7257.856089455305,8747.671507620289,10237.486925785275
-1565.110252938318,-163.06010725345277,1238.9900384314124,2641.0401841162775,4043.0903298011426,5445.140475486008,6847.190621170873,8249.240766855739,9651.290912540604
-1406.2899778909862,5.815036417378224,1417.9200507257426,2830.025065034107,4242.130079342472,5654.2350936508365,7066.3401079591995,8478.445122267563,9890.550136575928
-1227.063537304254,157.33074919017463,1541.7250356846032,2926.1193221790318,4310.51360867346,5694.9078951678885,7079.302181662318,8463.696468156746,9848.090754651175
-1629.0010542926086,-192.14681093907666,1244.7074324144553,2681.5616757679873,4118.415919121519,5555.270162475052,6992.124405828583,8428.978649182116,9865.832892535647
-1247.9111785117695,115.22539128398671,1478.361961079743,2841.4985308754995,4204.635100671256,5567.771670467012,6930.908240262768,8294.044810058525,9657.18137985428
-1513.5528934046863,-26.43662046845634,1460.6796524677736,2947.7959254040043,4434.912198340234,5922.028471276463,7409.144744212695,8896.261017148923,10383.377290085153
-1256.903418063372,166.02436321718255,1588.9521444977372,3011.8799257782916,4434.807707058846,5857.735488339402,7280.663269619956,8703.591050900512,10126.518832181066
-1395.4204228700503,102.71645336395864,1600.8533295979676,3098.9902058319767,4597.127082065986,6095.263958299995,7593.4008345340035,9091.53771076801,10589.67458700202
-1582.769900046968,-77.52854210726696,1427.712815832434,2932.954173772135,4438.195531711835,5943.436889651537,7448.678247591239,8953.919605530938,10459.16096347064
-1146.9588947312614,272.0700859250642,1691.0990665813897,3110.1280472377157,4529.157027894041,5948.186008550366,7367.214989206693,8786.243969863019,10205.272950519342
-1380.4339056957756,89.25627510620916,1558.946455908194,3028.6366367101787,4498.326817512163,5968.016998314148,7437.7071791161325,8907.397359918117,10377.087540720102
-794.3508666324758,621.9832751106785,2038.3174168538328,3454.6515585969864,4870.985700340141,6287.319842083296,7703.653983826449,9119.988125569604,10536.322267312758
-647.1431521057411,794.4817033881445,2236.10655888203,3677.731414375916,5119.3562698698015,6560.981125363687,8002.605980857573,9444.230836351457,10885.855691845343
