TMIN_0,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8
-16.852390416069877,-15.232673710092664,-13.61295700411545,-11.993240298138238,-10.373523592161025,-8.753806886183812,-7.134090180206599,-5.5143734742293855,-3.8946567682521724
-17.607126707311245,-15.867464447394692,-14.12780218747814,-12.388139927561587,-10.648477667645036,-8.908815407728483,-7.1691531478119295,-5.429490887895378,-3.689828627978825
-17.78876627912282,-16.078948251817824,-14.369130224512825,-12.659312197207825,-10.949494169902827,-9.23967614259783,-7.52985811529283,-5.820040087987831,-4.110222060682833
-17.85336607627893,-16.171052725417486,-14.488739374556042,-12.806426023694598,-11.124112672833153,-9.441799321971708,-7.759485971110264,-6.07717262024882,-4.394859269387375
-18.050314412733503,-16.322946617402142,-14.595578822070783,-12.868211026739424,-11.140843231408063,-9.413475436076702,-7.686107640745343,-5.958739845413984,-4.231372050082623
-17.940082428132325,-16.255297301805278,-14.570512175478234,-12.885727049151189,-11.200941922824143,-9.516156796497096,-7.831371670170052,-6.146586543843007,-4.461801417515961
-18.374124525440333,-16.645794339062167,-14.917464152683998,-13.189133966305832,-11.460803779927664,-9.732473593549496,-8.00414340717133,-6.275813220793163,-4.547483034414995
-18.374649421322168,-16.66552686526083,-14.956404309199492,-13.247281753138152,-11.538159197076814,-9.829036641015476,-8.119914084954136,-6.410791528892798,-4.70166897283146
-18.061035111985674,-16.39442480707062,-14.727814502155564,-13.061204197240508,-11.394593892325453,-9.727983587410398,-8.061373282495342,-6.394762977580287,-4.728152672665232
-18.42926411492244,-16.752691097030773,-15.076118079139105,-13.399545061247437,-11.722972043355771,-10.046399025464105,-8.369826007572437,-6.693252989680769,-5.016679971789102
-18.44401132951667,-16.78914706153141,-15.13428279354615,-13.479418525560892,-11.824554257575631,-10.169689989590372,-8.514825721605114,-6.859961453619853,-5.205097185634594
-18.738002206463843,-17.02001647640864,-15.302030746353433,-13.584045016298228,-11.866059286243022,-10.148073556187818,-8.430087826132613,-6.712102096077407,-4.994116366022203
-19.27581791811349,-17.614291080397443,-15.9527642426814,-14.291237404965356,-12.629710567249312,-10.968183729533267,-9.306656891817223,-7.645130054101179,-5.983603216385134
-19.035406363529027,-17.338056080114765,-15.6407057967005,-13.943355513286235,-12.246005229871972,-10.54865494645771,-8.851304663043445,-7.15395437962918,-5.456604096214917
-18.87538860817184,-17.26027132092549,-15.64515403367914,-14.030036746432788,-12.41491945918644,-10.79980217194009,-9.18468488469374,-7.569567597447389,-5.9544503102010395
-19.48109866312782,-17.708150341437864,-15.93520201974791,-14.162253698057954,-12.389305376368,-10.616357054678044,-8.843408732988088,-7.070460411298134,-5.297512089608178
-19.49449054743124,-17.827745968551582,-16.161001389671927,-14.494256810792269,-12.827512231912612,-11.160767653032956,-9.494023074153297,-7.8272784952736405,-6.160533916393984
-19.22240656732045,-17.572711487271366,-15.92301640722228,-14.273321327173193,-12.623626247124108,-10.973931167075023,-9.324236087025936,-7.674541006976849,-6.024845926927764
-19.72891601474814,-18.089486203575056,-16.45005639240197,-14.810626581228883,-13.171196770055797,-11.531766958882711,-9.892337147709625,-8.25290733653654,-6.613477525363454
-19.79268811160101,-18.06928124853552,-16.345874385470033,-14.622467522404548,-12.89906065933906,-11.175653796273572,-9.452246933208086,-7.728840070142599,-6.005433207077111
-20.046461531471465,-18.3209485717877,-16.595435612103934,-14.86992265242017,-13.144409692736406,-11.418896733052641,-9.693383773368875,-7.967870813685112,-6.242357854001346
-19.894899915938,-18.17219647498401,-16.449493034030017,-14.726789593076024,-13.004086152122031,-11.28138271116804,-9.558679270214048,-7.835975829260056,-6.113272388306063
-20.38743682712217,-18.718537146445975,-17.049637465769784,-15.38073778509359,-13.7118381044174,-12.042938423741205,-10.374038743065013,-8.70513906238882,-7.036239381712628
-20.13502973112887,-18.418689910300955,-16.702350089473036,-14.986010268645119,-13.269670447817202,-11.553330626989284,-9.836990806161367,-8.12065098533345,-6.404311164505533
-20.21100858902581,-18.54283310408721,-16.87465761914861,-15.206482134210013,-13.538306649271414,-11.870131164332815,-10.201955679394217,-8.533780194455618,-6.865604709517019
-20.336780057939905,-18.627410436084276,-16.91804081422865,-15.208671192373021,-13.499301570517392,-11.789931948661765,-10.080562326806138,-8.37119270495051,-6.661823083094882
-20.38344717600345,-18.717081606331625,-17.0507160366598,-15.384350466987978,-13.717984897316153,-12.051619327644328,-10.385253757972505,-8.718888188300681,-7.052522618628856
-20.65505657254317,-18.954695046477422,-17.254333520411674,-15.553971994345927,-13.853610468280179,-12.15324894221443,-10.452887416148684,-8.752525890082936,-7.052164364017187
-20.682838131488552,-18.993583385685866,-17.304328639883177,-15.61507389408049,-13.925819148277803,-12.236564402475116,-10.547309656672429,-8.858054910869742,-7.168800165067054
-19.682441057223546,-18.09282134680305,-16.503201636382556,-14.913581925962061,-13.323962215541567,-11.734342505121072,-10.144722794700577,-8.555103084280082,-6.965483373859588
-20.05043782553261,-18.365711613118552,-16.680985400704493,-14.99625918829043,-13.311532975876371,-11.626806763462312,-9.942080551048251,-8.25735433863419,-6.572628126220131
-20.79820541548694,-19.02590068536672,-17.253595955246503,-15.48129122512628,-13.708986495006062,-11.936681764885844,-10.164377034765623,-8.392072304645403,-6.619767574525184
-20.767475212496453,-19.01493831493247,-17.26240141736848,-15.509864519804495,-13.757327622240508,-12.004790724676521,-10.252253827112536,-8.49971692954855,-6.747180031984563
-19.964048561729733,-18.288665518439878,-16.61328247515002,-14.937899431860163,-13.262516388570305,-11.58713334528045,-9.911750301990592,-8.236367258700735,-6.560984215410878
-19.862223467797225,-18.195897603513696,-16.529571739230168,-14.863245874946639,-13.19692001066311,-11.530594146379581,-9.864268282096052,-8.197942417812524,-6.531616553528995
-19.82326789591608,-18.159482908302458,-16.495697920688833,-14.831912933075213,-13.168127945461588,-11.504342957847967,-9.840557970234345,-8.176772982620722,-6.5129879950071
-20.11977929342001,-18.421927846698143,-16.724076399976276,-15.026224953254411,-13.328373506532547,-11.63052205981068,-9.932670613088813,-8.234819166366949,-6.536967719645082
-20.04194214646006,-18.341677005605906,-16.641411864751753,-14.941146723897598,-13.240881583043443,-11.54061644218929,-9.840351301335136,-8.140086160480982,-6.439821019626828
-20.0342560505507,-18.353760498808523,-16.673264947066347,-14.992769395324173,-13.312273843581997,-11.63177829183982,-9.951282740097646,-8.27078718835547,-6.590291636613294
-20.073794371550463,-18.254720330269773,-16.435646288989084,-14.616572247708392,-12.797498206427703,-10.978424165147013,-9.159350123866322,-7.340276082585632,-5.521202041304942
-20.272211924658997,-18.515011327380464,-16.75781073010193,-15.000610132823399,-13.243409535544865,-11.486208938266332,-9.7290083409878,-7.971807743709267,-6.214607146430733
-19.909783966735585,-18.169348764647122,-16.428913562558662,-14.6884783604702,-12.948043158381736,-11.207607956293275,-9.467172754204814,-7.726737552116351,-5.98630235002789
-19.30002915733439,-17.595570632913432,-15.891112108492472,-14.186653584071514,-12.482195059650556,-10.777736535229597,-9.07327801080864,-7.368819486387681,-5.664360961966722
-18.961050788022373,-17.30386551669128,-15.64668024536018,-13.989494974029085,-12.332309702697989,-10.675124431366893,-9.017939160035798,-7.360753888704702,-5.703568617373605
-19.11942400655338,-17.419481318967424,-15.719538631381464,-14.019595943795508,-12.31965325620955,-10.619710568623592,-8.919767881037636,-7.219825193451678,-5.51988250586572
-18.883736063586987,-17.240610170085795,-15.597484276584598,-13.954358383083406,-12.311232489582212,-10.668106596081017,-9.024980702579825,-7.3818548090786305,-5.738728915577436
-18.600284148694215,-16.938240698825865,-15.27619724895752,-13.61415379908917,-11.952110349220822,-10.290066899352475,-8.628023449484125,-6.965979999615778,-5.30393654974743
-18.531433533946878,-16.824462762435985,-15.117491990925089,-13.410521219414196,-11.7035504479033,-9.996579676392408,-8.289608904881513,-6.582638133370619,-4.875667361859724
-18.68680201099991,-17.036727732544254,-15.386653454088597,-13.73657917563294,-12.086504897177285,-10.436430618721628,-8.786356340265971,-7.136282061810316,-5.48620778335466
-18.36928621768755,-16.64347235995202,-14.917658502216494,-13.191844644480966,-11.466030786745439,-9.740216929009911,-8.014403071274383,-6.288589213538856,-4.562775355803328
-18.487461637171,-16.79167557712025,-15.095889517069505,-13.400103457018758,-11.704317396968012,-10.008531336917265,-8.312745276866519,-6.616959216815772,-4.921173156765025
-17.628525040265288,-15.983584961444707,-14.338644882624125,-12.693704803803545,-11.048764724982963,-9.403824646162382,-7.758884567341802,-6.11394448852122,-4.46900440970064
-17.742732539340455,-16.028111820623888,-14.313491101907323,-12.598870383190757,-10.88424966447419,-9.169628945757623,-7.455008227041057,-5.740387508324492,-4.025766789607925
-17.195547622167265,-15.548558807019587,-13.90156999187191,-12.254581176724233,-10.607592361576556,-8.960603546428878,-7.313614731281202,-5.666625916133524,-4.019637100985847
-17.774240888349887,-16.053626265079966,-14.333011641810044,-12.612397018540122,-10.891782395270202,-9.171167772000281,-7.450553148730359,-5.729938525460437,-4.009323902190516
-16.77409239006461,-15.117456898941892,-13.460821407819175,-11.804185916696458,-10.14755042557374,-8.490914934451023,-6.834279443328306,-5.177643952205589,-3.5210084610828716
-17.006422636201936,-15.316891313629576,-13.627359991057217,-11.937828668484858,-10.248297345912498,-8.558766023340137,-6.8692347007677785,-5.17970337819542,-3.4901720556230593
-16.756665649063383,-15.139998391207978,-13.523331133352574,-11.90666387549717,-10.289996617641766,-8.67332935978636,-7.0566621019309554,-5.439994844075551,-3.823327586220147
-16.31355090776253,-14.636485687935798,-12.959420468109066,-11.282355248282334,-9.605290028455602,-7.928224808628871,-6.251159588802139,-4.574094368975407,-2.8970291491486755
-15.618871667501988,-13.924685486521472,-12.230499305540958,-10.536313124560442,-8.842126943579927,-7.147940762599411,-5.453754581618895,-3.759568400638381,-2.065382219657865
-15.757922053644355,-14.136192765854389,-12.514463478064421,-10.892734190274455,-9.271004902484488,-7.64927561469452,-6.027546326904554,-4.405817039114586,-2.78408775132462
-15.862003802525352,-14.181975849162741,-12.501947895800129,-10.821919942437518,-9.141891989074907,-7.461864035712296,-5.781836082349683,-4.101808128987072,-2.421780175624461
-15.45595018960455,-13.787525414147181,-12.119100638689812,-10.450675863232442,-8.782251087775073,-7.113826312317704,-5.445401536860334,-3.776976761402965,-2.1085519859455957
-16.045263766838556,-14.289675405083972,-12.53408704332939,-10.778498681574805,-9.022910319820221,-7.267321958065638,-5.511733596311053,-3.7561452345564703,-2.000556872801887
-15.251266428596578,-13.566780593099455,-11.882294757602331,-10.197808922105208,-8.513323086608086,-6.828837251110963,-5.144351415613839,-3.459865580116716,-1.7753797446195936
-14.75560210901623,-13.099676941598904,-11.443751774181578,-9.787826606764254,-8.131901439346928,-6.475976271929602,-4.820051104512277,-3.1641259370949513,-1.5082007696776252
